Timestamp,Face ID,Happiness Index
2023-07-21 18:23:25.693064,248-163-279-279-1689944005,[95.258125]
2023-07-21 18:23:25.885492,247-163-281-281-1689944005,[72.14638]
2023-07-21 18:23:25.978317,249-164-279-279-1689944005,[83.97264]
2023-07-21 18:23:26.077736,249-164-279-279-1689944006,[83.97264]
2023-07-21 18:23:26.722549,249-164-281-281-1689944006,[67.10779]
2023-07-21 18:23:26.918386,248-163-285-285-1689944006,[76.47771]
2023-07-21 18:23:27.026183,248-163-285-285-1689944007,[76.47771]
2023-07-21 18:23:27.308495,249-170-272-272-1689944007,[65.8733]
2023-07-21 18:23:27.411724,248-164-282-282-1689944007,[59.945263]
2023-07-21 18:23:17.069709,249-280-196-196-1689943997,[59.952927]
2023-07-21 18:23:18.515218,215-218-248-248-1689943998,[80.78778]
2023-07-21 18:23:22.164129,237-149-298-298-1689944002,[50.573124]
2023-07-21 18:23:22.251682,242-146-299-299-1689944002,[77.44095]
2023-07-21 18:23:22.439260,242-144-307-307-1689944002,[95.83785]
2023-07-21 18:23:22.532880,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.627648,247-153-296-296-1689944002,[95.87725]
2023-07-21 18:23:22.723975,252-159-285-285-1689944002,[96.94974]
2023-07-21 18:23:22.823782,252-159-287-287-1689944002,[74.111565]
2023-07-21 18:23:22.921071,250-160-284-284-1689944002,[94.88045]
2023-07-21 18:23:23.018234,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.107508,244-160-287-287-1689944003,[97.461494]
2023-07-21 18:23:23.193400,251-162-282-282-1689944003,[94.74692]
